Epoch	Time (s)	Breakbeam	Capacitor (V)	Battery (V)	Board Temperature (°C)	LPS	Encoder 0	Encoder 1	Encoder 2	Encoder 3	Setpoint 0	Setpoint 1	Setpoint 2	Setpoint 3	Motor 0	Motor 1	Motor 2	Motor 3	Motor 4	CPU (%)
2	0.527157	35	15.9943	16.5524	23.4864	987	0	0	-1	0	0	0	0	0	0	0	0	0	NaN	0
2	0.532159	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.53716	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.542161	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.547168	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.62995
2	0.55217	35	15.9943	16.5524	23.2062	986	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.557171	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.562215	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.50563
2	0.567175	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	3.50504
2	0.572176	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.577178	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.582179	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.587186	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.62995
2	0.592187	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.597189	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
2	0.602232	35	15.9943	16.5524	23.4864	987	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.50563
