Epoch	Time (s)	Breakbeam	Capacitor (V)	Battery (V)	Board Temperature (°C)	LPS	Encoder 0	Encoder 1	Encoder 2	Encoder 3	Setpoint 0	Setpoint 1	Setpoint 2	Setpoint 3	Motor 0	Motor 1	Motor 2	Motor 3	Motor 4	CPU (%)
1	0.519981	50	15.9943	16.4549	25.121	974	5	5	8	10	0	0	0	0	0	0	0	0	NaN	0
1	0.524983	50	15.9943	16.4549	25.121	974	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.529984	50	15.9943	16.4224	25.121	974	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.534985	50	15.9943	16.4549	25.121	974	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.539992	50	15.9943	16.4224	25.121	974	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.62995
1	0.544994	50	15.9943	16.4224	25.121	974	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.549995	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.555039	49	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.50563
1	0.559999	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	3.50504
1	0.565	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.570002	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.575003	50	15.9943	16.4224	25.121	974	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.58001	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.62995
1	0.585011	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.590013	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.595056	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.50563
1	0.600016	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	3.50504
1	0.605018	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.610019	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.615021	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.620027	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.62995
1	0.625029	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.63003	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.635074	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.50563
1	0.640034	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	3.50504
1	0.645035	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.650037	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.655038	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.660045	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.62995
1	0.665047	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.670048	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.675092	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.50563
1	0.680052	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	3.50504
1	0.685053	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.690055	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.695056	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.700063	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.62995
1	0.705064	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.710066	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
1	0.715109	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.50563
1	0.720069	50	15.9943	16.4549	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	3.50504
1	0.725071	50	15.9943	16.4224	25.121	973	0	0	0	0	0	0	0	0	0	0	0	0	NaN	2.52677
