Epoch	Time (s)	Breakbeam	Capacitor (V)	Battery (V)	Board Temperature (°C)	LPS	Encoder 0 (¼°/t)	Encoder 1 (¼°/t)	Encoder 2 (¼°/t)	Encoder 3 (¼°/t)	Setpoint 0	Setpoint 1	Setpoint 2	Setpoint 3	Motor 0 (/255)	Motor 1 (/255)	Motor 2 (/255)	Motor 3 (/255)	Motor 0 (°C)	Motor 1 (°C)	Motor 2 (°C)	Motor 3 (°C)	Dribbler (rpm)	Dribbler (°C)	CPU (%)
3	0.433369	82	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94142
3	0.438374	81	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.7865
3	0.44343	81	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.90545
3	0.448399	82	15.1058	15.7069	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	5.00926
3	0.453409	83	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94142
3	0.458413	83	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.78936
3	0.463424	82	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94142
3	0.468439	83	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.04293
3	0.473449	82	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94142
3	0.478453	83	15.1058	15.7395	26.4264	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	4.78365
3	0.48351	82	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.90545
3	0.488479	84	15.1058	15.7069	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	5.00926
3	0.493489	83	15.1058	15.7395	26.1692	2	0	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	0	40	3.94142
