0, 0, -0.191098, 1.137855, 1.535680, -0.275954
0, 1, -0.098299, 2.068394, 0.277523, -0.034507
0, 2, 0.253273, 2.061048, -0.138888, -0.017013
0, 3, 1.588572, 1.330967, -0.280561, 0.024866
0, -1, -0.144942, 0.457201, 2.172731, -0.279546
0, -2, -0.058848, -0.006140, 2.592715, -0.017027
0, -3, 0.043506, -0.115092, 1.479669, 1.552275
1, 0, -0.171992, 2.425904, 3.191423, -0.249530
1, 1, 0.735233, 4.374222, 0.776380, -0.104967
1, 2, 3.339961, 2.876503, -0.130760, 0.047199
1, 3, 6.448460, 1.339761, -0.234267, 0.062887
1, -1, -0.162237, 0.873689, 4.716665, 0.010653
1, -2, -0.049228, -0.007887, 3.056782, 1.587203
1, -3, -0.018226, -0.114333, 0.920828, 4.827990
2, 0, 0.018769, 1.830707, 1.655774, -0.099460
2, 1, 0.668608, 2.444637, 0.488736, 0.016091
2, 2, 2.381140, 1.831990, -0.060180, -0.003618
2, 3, 3.166432, 1.282708, -0.097937, 0.021424
2, -1, 0.045942, 0.673211, 1.762837, -0.007278
2, -2, 0.012830, 0.066620, 1.323955, 0.844367
2, -3, -0.012602, 0.036487, 0.378265, 2.967126
3, 0, 0.129490, 0.450999, 0.447955, 0.119663
3, 1, 0.454888, 0.835623, 0.241696, 0.043823
3, 2, 0.650440, 0.588306, 0.139382, 0.034159
3, 3, 0.852218, 0.358953, -0.009089, 0.068122
3, -1, 0.077979, 0.207362, 0.534988, 0.224333
3, -2, -0.015727, 0.134653, 0.387847, 0.491234
3, -3, -0.022814, 0.014757, 0.222256, 0.804242






